timestamp,open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2022/8/30,85.7,88.1,81.4,84.5,155436.215,155436.215
2022/8/29,78.6,86.2,78,85.8,111809.624,111809.624
2022/8/28,82.1,83.6,78.2,78.6,103340.6,103340.6
2022/8/27,82.7,83.6,80.4,82,129020.116,129020.116
2022/8/26,93.2,94.2,81.8,82.8,221902.31,221902.31
2022/8/25,88.5,95.8,87.7,93.2,180095.58,180095.58
2022/8/24,89.5,91.9,86.8,88.5,114060.905,114060.905
2022/8/23,88.5,91.2,85.1,89.4,167019.009,167019.009
2022/8/22,85.9,88.7,81.9,88.4,190616.581,190616.581
2022/8/21,82.9,87.1,81.7,86,114088.526,114088.526
2022/8/20,83.4,86.9,79.9,82.8,152743.549,152743.549
2022/8/19,94.9,95.4,82.8,83.4,368146.773,368146.773
2022/8/18,100.3,101.7,94.2,94.9,140447.321,140447.321
2022/8/17,109.8,112.3,99.2,100.2,240659.372,240659.372
2022/8/16,107.1,110.5,105.5,109.8,216416.167,216416.167
2022/8/15,107.4,112.4,103.8,107.1,186767.306,186767.306
2022/8/14,110.6,113.2,105.8,107.5,115148.345,115148.345
2022/8/13,114.7,115.8,109.5,110.5,161864.569,161864.569
2022/8/12,107.5,115.8,105.5,114.7,172207.451,172207.451
2022/8/11,111.1,113.9,106.2,107.5,250385.748,250385.748
2022/8/10,97.8,113.1,95.1,111.1,357430.82,357430.82
2022/8/9,102.4,103.4,95.3,97.9,145960.994,145960.994
2022/8/8,101.3,106.9,101,102.4,169915.888,169915.888
2022/8/7,99,104.6,97,101.3,124227.825,124227.825
2022/8/6,102.8,103.4,98.6,99.1,112602.561,112602.561
2022/8/5,96.4,103.8,96.4,102.8,254908.97,254908.97
