,positive,daily return_past_ma30
0,0,
1,0,
2,1,-0.0032414910858995505
3,0,0.00894836014810707
4,1,-0.0014654244447863674
5,1,0.009487250884651272
6,1,0.008839800707721035
7,0,0.007366500589767529
8,1,0.0027648975773872297
9,0,0.008191578373844405
10,1,0.0037299062967911644
11,0,0.00602987164195481
12,0,0.00033065039982805753
13,1,-0.0015908431940970063
14,1,0.00019265892740138159
15,0,0.0005273296311932693
16,0,-0.0023125721716198274
17,1,-0.003223779654136831
18,0,-0.002730931487701858
19,0,-0.003528880688052707
20,1,-0.004807681017972132
21,1,-0.004388406090508229
22,0,-0.0019724909884986258
23,1,-0.0021151383316728068
24,0,-0.0019487267186816743
25,1,-0.0019387548432950087
26,0,-8.038273175498656e-05
27,0,-0.0012122217313533118
28,1,-0.0027939512568187063
29,1,-0.0017476756124876005
30,1,0.0018142805588492882
31,0,0.003837137873554312
32,1,-0.0009077536000529555
33,1,0.006477140214461785
34,0,0.014191615810088461
35,1,0.012436463969305811
36,0,0.016047575080416918
37,0,0.015459136174221
38,0,0.012446560613617137
39,1,0.009632889809740182
40,0,0.012230429917703163
41,1,0.011220679747149876
42,1,0.013109398481197857
43,0,0.014462921795388635
44,0,0.01323568290135599
45,1,0.012002926697456262
46,0,0.014265250804440561
47,1,0.014189591312613407
48,1,0.015320171309172782
49,0,0.017339247241292193
50,0,0.015789305995698777
51,0,0.015629493910916396
52,1,0.013516221037451507
53,0,0.014553988949819652
54,0,0.014376138377388973
55,0,0.012978572979823577
56,0,0.010184880021278275
57,1,0.009453447000818915
58,0,0.011381017826164427
59,1,0.009628855595443542
60,0,0.006525577291079206
61,1,0.004349134088099697
62,1,0.010229152762236012
63,0,0.0030001591480276293
64,1,-0.0043685676532907594
65,1,-0.0034887320121162984
66,1,-0.006560595102119227
67,1,-0.005413016410977071
68,0,-0.0015299823160435581
69,0,-0.0016920070498005813
70,1,-0.004504451347992074
71,1,-0.0035133265391173157
72,1,-0.0034685838098108285
73,0,-0.0030368280599021636
74,0,-0.002572758315950093
75,0,-0.001589409293622183
76,0,-0.0026234245574024576
77,1,-0.0031220598327834598
78,1,-0.003790403164170264
79,0,-0.00430634519315577
80,0,-0.0020018032971741836
81,1,-0.004177679436925123
82,1,-0.002491948496095823
83,0,-0.0022782775761051957
84,1,-0.0036409252226135298
85,0,0.0016492366702880864
86,0,0.002098960504042339
87,1,0.003477724335766937
88,0,0.005222185414937408
89,1,0.0058121820224569165
90,1,0.00870318264466406
91,1,0.009052984850210489
92,0,0.008426198473359903
93,0,0.007026316901200994
94,0,0.0063271766665083055
95,0,0.0055264333724674205
96,1,0.0032931377323116204
97,0,0.0057244285693749545
98,0,0.0048405613403022
99,1,0.005638840608163217
100,0,0.007416706246857167
101,0,0.005790198470616766
102,0,0.005128171790692993
103,1,0.00398254395586742
104,0,0.004538710805922438
105,1,0.001828313564275197
106,1,0.0034442778832869726
107,1,0.0049068389655907135
108,0,0.008459576485719541
109,1,0.0058452703340743295
110,0,0.006357188966417678
111,0,0.008200760529020072
112,0,0.006178464717700268
113,1,0.0038570735590998033
114,1,0.0055820400461878495
115,1,0.00634274654947837
116,1,0.009064306120353012
117,0,0.012594194640915915
118,1,0.009566454569216358
119,1,0.009969722208410626
120,1,0.0077272640034979434
121,0,0.00873753999338955
122,1,0.006244833876933605
123,0,0.00790048727248314
124,1,0.005036582460949361
125,0,0.006833308414978689
126,0,0.007960949784026306
127,1,0.004246596819140787
128,0,0.006332697004379099
129,0,0.004895608164566531
130,0,0.003879423527585461
131,1,0.004141825643331654
132,1,0.0058642789344123996
133,0,0.0063272690251711524
134,1,0.004994776381203103
135,1,0.007897021195212624
136,0,0.00820032197811054
137,0,0.0059514039665423644
138,1,-0.003022438339102895
139,1,-0.001259262479278478
140,0,0.0022147926002553664
141,1,0.0021461475740566743
142,1,0.0031256961651330924
143,0,0.006523744337890573
144,1,0.004674930799167269
145,1,0.0018774331144956265
146,0,0.00018997975014098945
147,1,-0.005775635796312876
148,0,-0.0031796976031849833
149,1,-0.004201213732660336
150,0,-0.004799587883720228
151,0,-0.010301678516923547
152,1,-0.012935319564779191
153,1,-0.01332060448249985
154,1,-0.005592921842991276
155,0,-0.005368456572744543
